"Sub.ID","Response.JOL","Scored"
"10067786",18.375,0
"10077702",6.625,11.25
"10089997",35.5625,6.25
"536517",31.5375,16.25
"5aa9528235237b0001132675",7.98701298701299,1.25
"5c4764aca7b7980001713a73",21.2375,25
"5c8ceef1579bfa0001a891ea",19.0253164556962,12.5
"5de6af0b920bf9000ca9993d",36.625,20
"5e18762ae80b8e1495d584d7",23.675,46.25
"5e60f7b720abd6000eaf36ed",20,16.25
"5eaa97d07eda6e01ec108107",25.375,2.5
"5eb6eccc6b2e3c08e61f7c39",15.6835443037975,11.25
"5ec3a89e1b50db206f73d612",47.625,25
"5eeede4c6ee5493a05b26967",25.85,13.75
"5efe59519563aa3504e9966a",35.325,1.25
"5f2b2c38344357530961afa1",5.3,6.25
"5f2e0bc767a4ed17d55942c7",52.2875,68.75
"5f4808a945ed0028ede337f2",50.6125,36.25
"5f6b24710d220320331e7866",9.6875,16.25
"5f8b29a907e21f2236fcbe45",48.625,45
"5f90ad46f0452619e18b1653",22.2375,28.75
"981956",15.425,25
"asdfadf",NA,NA
"w10003302_MPR",47.375,16.25
"w10016360",15.8205128205128,5
"w10022569",21.625,6.25
"w10046938_mec",39.1392405063291,12.5
"w10064597",29.3670886075949,27.5
"w10067231",48.225,6.25
"w10068359",56.1012658227848,6.25
"w10069871",41.5,22.5
"w10069945",14.1012658227848,8.75
"w10070257",35.5822784810127,13.75
"w10070266_SELA",32.9113924050633,13.75
"w10080059",15.08,21.25
"W10080298",23.875,57.5
"w10083307",35.6375,13.75
"w10084785",42.75,46.25
"w10089194_ams",40.95,25
"w10089265",29.3552631578947,1.25
"w674595",37.75,31.25
"w882450_LLK",56.9620253164557,3.75
"W958482_AFJ",26.5625,66.25
"W966659_MER",36.7721518987342,1.25
"w966915",21.2875,5
"w998665",18.7594936708861,11.25
