"Sub.ID","Response.JOL","Scored"
"10081611",41.9625,65
"10086350",9.5625,23.75
"594fc4afd3a26200014dce0e",7,27.5
"5c043f143ffea50001c2b1cf",6.40506329113924,3.75
"5cacce6db3e1fe0016683384",42.825,5
"5cf1a1b1c0d98b00196ea8c8",32.875,21.25
"5dfd15e7de8da6a03520061a",40.379746835443,46.25
"5ead4b9d7ea9de012323aa7a",28.9230769230769,22.5
"5ecf82c4e84c2d01e7ba2f7a",18.3,22.5
"5f146f18fe732f4d1e44ea3e",11.7625,8.75
"5f15c9f67392046d70fb9f4d",41.3,8.75
"5f2b3d6952f67f5672d25a10",25.1625,27.5
"5f3ab08d20bd47131cf856f6",5.26315789473684,6.25
"5f43e46ac4c51868e8fc882a",21.4375,26.25
"5f555aca6e6c4c924669a548",32.3417721518987,7.5
"5f5714975783961908276de3",15.025,15
"5f5e3cf646d1426af7f28097",20.5,25
"5f60eb87ae343700080fe6a9",26.625,56.25
"5f8dc2ee68198210fa895827",37.9375,27.5
"W10001293_KMR",7.9,8.75
"w10014539_SML",35.025,23.75
"W10027383_MES",27.05,3.75
"w10027834",30.1875,42.5
"w10042357_SGH",8.3125,13.75
"w10042757",14.825,18.75
"w10043192",27.625,55
"w10055883_SR",31.8625,21.25
"w10061361",26.1625,27.5
"W10063353_SDP",9.575,15
"w10065790_AMB",9.125,8.75
"w10069845",35.525,8.75
"W10078983_HMS",34.75,6.25
"w10080038",18.225,16.25
"w10083273_MIC",26.525,22.5
"W10089131_BBO",23.5625,18.75
"w212885",25.379746835443,26.25
"w870212_eeg",19.1625,28.75
"w957714",4.125,33.75
"w971401",38.6075949367089,11.25
"w982563BCR",10.825,3.75
"w984060_ram",18.7662337662338,3.75
