"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Trial.Type","JOL.RT","Response.JOL","Response.RT.1","Response.Response","Response.Accuracy","Recall_Score"
"59d4a376d1ab390001da2d36",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL_H",2383,"3",3942,"bird",0,0
"5b7b034558f9c1000163630e",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL",4050,"10",6797,"",0,0
"5cd05f58395afc00178f3918",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL_H",2572,"20",1381,"",0,0
"5cf89384abbbdf0015b69296",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL",1931,"0",3591,"dizzy",20,0
"5e6d403dfc5eff000b8329a5",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL_H",9652,"79",3798,"SHAKY",100,100
"5e728270b099d308cbe299f7",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL",3546,"10",5113,"baseball",15.384615384615,0
"5e8ea2396c1dea158c64201f",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL_H",4708,"20",14640,"Shifty",54.545454545455,0
"5e8ea2396c1dea158c64201f",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL",7986,"40",4223,"Shaky",100,100
"5e8f0692facc7d1c12b4c9a1",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL",2667,"50",1361,"",0,0
"5ecc445313612d13075ef35f",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL",2291,"30",10374,"Ball",22.222222222222,0
"5ede34f5255765051d450b9f",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL_H",2450,"15",1668,"",0,0
"5ede7a750fcb900e98650b4f",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL_H",3328,"25",13911,"shaky",100,100
"5edfc2644280d62da10b4add",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL",2644,"9",3809,"dizzy",20,0
"5ee7d5e2b90cb30ab937a8b9",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL",2518,"20",4823,"dizzy",20,0
"5eff4daa9f1ee84c8cf687db",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL",7849,"0",1975,"SHAKE",80,100
"5f05b44498000b0600d6c910",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL_H",5794,"55",15200,"owl",0,0
"5f0d11458b49e51e2fc65c83",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL_H",11066,"10",49890,"wash",44.444444444444,0
"5f107c6479c9e00788c3df28",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL_H",2700,"0",4500,"cave",22.222222222222,0
"5f118646a89ac3000b047862",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL_H",6386,"60",3790,"shaky",100,100
"5f14359cc1b7a74789b1075c",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL_H",2872,"5",2276,"Eat ",25,0
"5f181fe8617dcb1ff653b88b",3,"Highlight U A","BAT","SHAKY","Study1","U","JOL_H",3368,"12",2259,"SHAKY",100,100
"59d4a376d1ab390001da2d36",3,"Highlight U A","BOTH","OUNCE","Study1","U","JOL",3212,"4",2228,"one",75,0
"5b7b034558f9c1000163630e",3,"Highlight U A","BOTH","OUNCE","Study1","U","JOL",6120,"0",1704,"",0,0
"5cd05f58395afc00178f3918",3,"Highlight U A","BOTH","OUNCE","Study1","U","JOL_H",3928,"20",8174,"",0,0
"5cf89384abbbdf0015b69296",3,"Highlight U A","BOTH","OUNCE","Study1","U","JOL_H",4701,"14",2247,"",0,0
"5e6d403dfc5eff000b8329a5",3,"Highlight U A","BOTH","OUNCE","Study1","U","JOL",6002,"67",7012,"OUNCE",100,100
"5e728270b099d308cbe299f7",3,"Highlight U A","BOTH","OUNCE","Study1","U","JOL",5282,"0",2023,"",0,0
"5e8ea2396c1dea158c64201f",3,"Highlight U A","BOTH","OUNCE","Study1","U","JOL_H",6118,"20",1924,"",0,0
"5e8f0692facc7d1c12b4c9a1",3,"Highlight U A","BOTH","OUNCE","Study1","U","JOL_H",1369,"40",5763,"",0,0
"5ecc445313612d13075ef35f",3,"Highlight U A","BOTH","OUNCE","Study1","U","JOL_H",2687,"50",14994,"Children",30.769230769231,0
"5ede34f5255765051d450b9f",3,"Highlight U A","BOTH","OUNCE","Study1","U","JOL_H",2180,"15",2821,"",0,0
"5ede7a750fcb900e98650b4f",3,"Highlight U A","BOTH","OUNCE","Study1","U","JOL",4358,"40",12091,"Ounce",100,100
"5edfc2644280d62da10b4add",3,"Highlight U A","BOTH","OUNCE","Study1","U","JOL_H",2523,"1",3943,"together",30.769230769231,0
"5ee7d5e2b90cb30ab937a8b9",3,"Highlight U A","BOTH","OUNCE","Study1","U","JOL",1782,"30",2574,"ads",0,0
"5eff4daa9f1ee84c8cf687db",3,"Highlight U A","BOTH","OUNCE","Study1","U","JOL_H",4853,"40",2621,"",0,0
"5f05b44498000b0600d6c910",3,"Highlight U A","BOTH","OUNCE","Study1","U","JOL_H",9688,"90",3867,"poor",22.222222222222,0
"5f0d11458b49e51e2fc65c83",3,"Highlight U A","BOTH","OUNCE","Study1","U","JOL",5150,"10",12157,"jump",22.222222222222,0
"5f107c6479c9e00788c3df28",3,"Highlight U A","BOTH","OUNCE","Study1","U","JOL",4929,"10",5473,"ounce",100,100
"5f118646a89ac3000b047862",3,"Highlight U A","BOTH","OUNCE","Study1","U","JOL",4743,"5",5106,"",0,0
