"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Direction","Procedure.Shuffle","JOL","Procedure.Shuffle.1","Response.RT","Response.Response","Recall_Score"
"337079",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",1,"Recall1",873,"",0
"57adbbe8bcf54e000152816b",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",10,"Recall1",5894,"SHAKY",100
"5c43c3a3e72e1c000146e886",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",10,"Recall1",7381,"d",0
"5c6039c8c5405100016c90ab",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",20,"Recall1",12117,"fuzzy",0
"5d5c6cc6f68762001a9009e0",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",20,"Recall1",2996,"",0
"5db6e588867c22000dfffa54",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",10,"Recall1",3731,"",0
"5e378948cd9d1670b2b86a51",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",25,"Recall1",14498,"fly",0
"5e558d73a9fedb0a01f7987c",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",0,"Recall1",7987,"far",0
"5edbb0a767bf0083cc63bd5c",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",35,"Recall1",1016,"",0
"5ee96e3da75e4919e8822d0c",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",0,"Recall1",1684,"",0
"5ee96e3da75e4919e8822d0c",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase2",10,"Recall2",5480,"shaky",100
"5f0f190c5fc48a0636bd891e",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",11,"Recall1",12464,"cave",0
"5f12900e0ad01c209b1fade9",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",65,"Recall1",2934,"wings",0
"5f1eadf617e7c80008b0d2ae",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",1,"Recall1",2378,"",0
"904025",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",26,"Recall1",4853,"Shaky",100
"w10002554",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",20,"Recall1",1987,"",0
"w10042723",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",50,"Recall1",11205,"shake",100
"w10058488_mev",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",40,"Recall1",8009,"fuzzy",0
"w953508",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",15,"Recall1",1704,"",0
"w990838_amn",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",15,"Recall1",25623,"catcher",0
"337079",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",1,"Recall1",1545,"",0
"57adbbe8bcf54e000152816b",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",90,"Recall1",15252,"",0
"5c43c3a3e72e1c000146e886",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",10,"Recall1",3364,"",0
"5c6039c8c5405100016c90ab",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",5,"Recall1",4313,"",0
"5d5c6cc6f68762001a9009e0",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",20,"Recall1",2011,"",0
"5db6e588867c22000dfffa54",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",0,"Recall1",6410,"",0
"5e378948cd9d1670b2b86a51",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",65,"Recall1",12185,"Have",0
"5e558d73a9fedb0a01f7987c",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",0,"Recall1",2394,"",0
"5edbb0a767bf0083cc63bd5c",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",26,"Recall1",865,"",0
"5ee96e3da75e4919e8822d0c",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",0,"Recall1",3314,"",0
"5f0f190c5fc48a0636bd891e",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",2,"Recall1",1414,"",0
"5f12900e0ad01c209b1fade9",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",12,"Recall1",7178,"opposite",0
"5f1eadf617e7c80008b0d2ae",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",0,"Recall1",3225,"",0
"904025",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",15,"Recall1",4050,"",0
"w10002554",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",30,"Recall1",2477,"",0
"w10042723",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",80,"Recall1",6758,"",0
"w10058488_mev",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",9,"Recall1",9834,"car",0
"w953508",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",6,"Recall1",980,"",0
"w990838_amn",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",3,"Recall1",14691,"",0
"337079",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",1,"Recall1",5078,"",0
"57adbbe8bcf54e000152816b",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",40,"Recall1",2601,"",0
"5c43c3a3e72e1c000146e886",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",10,"Recall1",7589,"",0
"5c6039c8c5405100016c90ab",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",5,"Recall1",3440,"wide",0
"5d5c6cc6f68762001a9009e0",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",20,"Recall1",1405,"",0
"5db6e588867c22000dfffa54",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",30,"Recall1",2425,"",0
"5e378948cd9d1670b2b86a51",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",60,"Recall1",4102,"sea",0
"5e558d73a9fedb0a01f7987c",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",10,"Recall1",3218,"toil",0
"5edbb0a767bf0083cc63bd5c",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",10,"Recall1",810,"",0
"5ee96e3da75e4919e8822d0c",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",0,"Recall1",5540,"",0
"5f0f190c5fc48a0636bd891e",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",9,"Recall1",6468,"mind",0
"5f12900e0ad01c209b1fade9",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",13,"Recall1",3462,"walk",0
"5f1eadf617e7c80008b0d2ae",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",2,"Recall1",1589,"",0
"5f1eadf617e7c80008b0d2ae",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase2",1,"Recall2",1371,"",0
"904025",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",15,"Recall1",8421,"Lease",0
"w10002554",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",25,"Recall1",2563,"bang ",0
"w10042723",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",55,"Recall1",4528,"infected",100
"w10058488_mev",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",22,"Recall1",6417,"infection",0
"w953508",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",10,"Recall1",746,"",0
"w990838_amn",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",40,"Recall1",25186,"illness",0
"337079",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",1,"Recall1",1272,"",0
"57adbbe8bcf54e000152816b",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",30,"Recall1",6096,"Clothes",100
"5c43c3a3e72e1c000146e886",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",20,"Recall1",4350,"clothes",100
"5c6039c8c5405100016c90ab",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",50,"Recall1",4419,"clothes",100
"5d5c6cc6f68762001a9009e0",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",60,"Recall1",11109,"POUND",0
"5db6e588867c22000dfffa54",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",10,"Recall1",2220,"",0
"5e378948cd9d1670b2b86a51",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",12,"Recall1",9646,"clothes",100
"5e558d73a9fedb0a01f7987c",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",0,"Recall1",2822,"",0
"5edbb0a767bf0083cc63bd5c",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",60,"Recall1",1751,"",0
"5ee96e3da75e4919e8822d0c",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",10,"Recall1",1090,"",0
"5f0f190c5fc48a0636bd891e",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",34,"Recall1",6310,"clothes",100
"5f12900e0ad01c209b1fade9",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",37,"Recall1",11318,"batter",0
"5f1eadf617e7c80008b0d2ae",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",1,"Recall1",1995,"",0
"904025",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",25,"Recall1",4153,"Clothes",100
"w10002554",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",35,"Recall1",4550,"clothes",100
"w10042723",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",60,"Recall1",7516,"clothes",100
"w10058488_mev",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",62,"Recall1",7276,"clothes",100
"w953508",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",60,"Recall1",4754,"clothes",100
"w990838_amn",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",10,"Recall1",4077,"moon",0
"337079",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",1,"Recall1",865,"",0
"57adbbe8bcf54e000152816b",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",20,"Recall1",4501,"Able",100
"5c43c3a3e72e1c000146e886",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",30,"Recall1",1690,"",0
"5c6039c8c5405100016c90ab",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",10,"Recall1",5848,"oath",0
"5d5c6cc6f68762001a9009e0",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",60,"Recall1",2261,"",0
"5db6e588867c22000dfffa54",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",35,"Recall1",4871,"ABLE",100
"5e378948cd9d1670b2b86a51",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",30,"Recall1",14569,"Cracker",0
"5e378948cd9d1670b2b86a51",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase2",16,"Recall2",10935,"craker",0
"5e558d73a9fedb0a01f7987c",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",10,"Recall1",11302,"battle",0
"5edbb0a767bf0083cc63bd5c",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",25,"Recall1",1768,"",0
"5ee96e3da75e4919e8822d0c",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",0,"Recall1",10292,"",0
"5f0f190c5fc48a0636bd891e",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",9,"Recall1",2871,"pop",0
"5f12900e0ad01c209b1fade9",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",34,"Recall1",4322,"wrapper",0
"5f1eadf617e7c80008b0d2ae",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",10,"Recall1",2113,"",0
"904025",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",0,"Recall1",3162,"",0
"w10002554",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",10,"Recall1",2694,"",0
"w10042723",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",0,"Recall1",5351,"",0
"w10058488_mev",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",44,"Recall1",4232,"able",100
"w953508",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",10,"Recall1",3213,"",0
"w990838_amn",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",10,"Recall1",6214,"fire",0
"337079",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase",1,"Recall1",3710,"rate",100
"57adbbe8bcf54e000152816b",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase",10,"Recall1",1043,"",0
"5c43c3a3e72e1c000146e886",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase",10,"Recall1",2556,"taxes",0
"5c6039c8c5405100016c90ab",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase",10,"Recall1",3433,"rate",100
"5c6039c8c5405100016c90ab",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase2",5,"Recall2",2018,"rate",100
"5d5c6cc6f68762001a9009e0",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase",40,"Recall1",1346,"",0
"5db6e588867c22000dfffa54",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase",5,"Recall1",2206,"RIPE",0
"5e378948cd9d1670b2b86a51",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase",40,"Recall1",3791,"colors",0
"5e558d73a9fedb0a01f7987c",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase",10,"Recall1",2729,"rate",100
"5edbb0a767bf0083cc63bd5c",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase",30,"Recall1",2229,"",0
"5ee96e3da75e4919e8822d0c",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase",0,"Recall1",5853,"",0
"5f0f190c5fc48a0636bd891e",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase",8,"Recall1",3668,"pick",0
"5f12900e0ad01c209b1fade9",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase",22,"Recall1",2773,"holder",0
"5f1eadf617e7c80008b0d2ae",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase",0,"Recall1",4285,"",0
"904025",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase",0,"Recall1",4163,"Rate",100
"w10002554",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase",35,"Recall1",2644,"color",0
"w10042723",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase",50,"Recall1",7239,"",0
