"Sub.ID","Response.JOL","Scored"
"10067786",11.6,0
"10077702",5.95,10
"10089997",38.85,7.5
"536517",32.05,17.5
"5aa9528235237b0001132675",10.1578947368421,2.5
"5c4764aca7b7980001713a73",20.925,25
"5c8ceef1579bfa0001a891ea",19.8205128205128,10
"5de6af0b920bf9000ca9993d",37.75,17.5
"5e18762ae80b8e1495d584d7",20.125,45
"5e60f7b720abd6000eaf36ed",20,10
"5eaa97d07eda6e01ec108107",25,2.5
"5eb6eccc6b2e3c08e61f7c39",15.3333333333333,5
"5ec3a89e1b50db206f73d612",53,25
"5eeede4c6ee5493a05b26967",25.15,10
"5efe59519563aa3504e9966a",35.525,0
"5f2b2c38344357530961afa1",4.525,10
"5f2e0bc767a4ed17d55942c7",54.175,57.5
"5f4808a945ed0028ede337f2",51.575,32.5
"5f6b24710d220320331e7866",7.125,10
"5f8b29a907e21f2236fcbe45",46,37.5
"5f90ad46f0452619e18b1653",21.475,32.5
"981956",11.55,22.5
"w10003302_MPR",45.45,15
"w10016360",14.0789473684211,0
"w10022569",19.5,2.5
"w10046938_mec",38.7948717948718,7.5
"w10064597",27.3333333333333,25
"w10067231",50.825,5
"w10068359",50.8974358974359,2.5
"w10069871",41,25
"w10069945",11.5128205128205,5
"w10070257",33.175,12.5
"w10070266_SELA",30.4615384615385,17.5
"w10080059",7.86842105263158,12.5
"W10080298",24.5,57.5
"w10083307",24.025,12.5
"w10084785",45.625,40
"w10089194_ams",36.775,17.5
"w10089265",29.7837837837838,0
"w674595",33.5,27.5
"w882450_LLK",48,2.5
"W958482_AFJ",23.625,72.5
"W966659_MER",36.1794871794872,2.5
"w966915",30.3,2.5
"w998665",17.975,10
