"Sub.ID","Response.JOL","Scored"
"10067786",25.15,0
"10077702",7.3,12.5
"10089997",32.275,5
"536517",31.025,15
"5aa9528235237b0001132675",5.87179487179487,0
"5c4764aca7b7980001713a73",21.55,25
"5c8ceef1579bfa0001a891ea",18.25,15
"5de6af0b920bf9000ca9993d",35.5,22.5
"5e18762ae80b8e1495d584d7",27.225,47.5
"5e60f7b720abd6000eaf36ed",20,22.5
"5eaa97d07eda6e01ec108107",25.75,2.5
"5eb6eccc6b2e3c08e61f7c39",16.025,17.5
"5ec3a89e1b50db206f73d612",42.25,25
"5eeede4c6ee5493a05b26967",26.55,17.5
"5efe59519563aa3504e9966a",35.125,2.5
"5f2b2c38344357530961afa1",6.075,2.5
"5f2e0bc767a4ed17d55942c7",50.4,80
"5f4808a945ed0028ede337f2",49.65,40
"5f6b24710d220320331e7866",12.25,22.5
"5f8b29a907e21f2236fcbe45",51.25,52.5
"5f90ad46f0452619e18b1653",23,25
"981956",19.3,27.5
"w10003302_MPR",49.3,17.5
"w10016360",17.475,10
"w10022569",23.75,10
"w10046938_mec",39.475,17.5
"w10064597",31.35,30
"w10067231",45.625,7.5
"w10068359",61.175,10
"w10069871",42,20
"w10069945",16.625,12.5
"w10070257",38.0512820512821,15
"w10070266_SELA",35.3,10
"w10080059",22.4864864864865,30
"W10080298",23.25,57.5
"w10083307",47.25,15
"w10084785",39.875,52.5
"w10089194_ams",45.125,32.5
"w10089265",28.9487179487179,2.5
"w674595",42,35
"w882450_LLK",66.1538461538462,5
"W958482_AFJ",29.5,60
"W966659_MER",37.35,0
"w966915",12.275,7.5
"w998665",19.5641025641026,12.5
