Task,Encoding,Average,Upper,Lower
JOL,Large,29.27104701,34.09115184,29.90280737
Recall,Large,24.72222222,24.45094218,19.54163708
JOL,Small,26.7145405,31.07617517,22.35290583
Recall,Small,21.875,26.7441597,17.0058403
JOL,Control,24.76295491,29.81746715,23.97103856
Recall,Control,19.0234375,19.70844266,14.07583644
