Task,Encoding,Average,Upper,Lower
JOL,SF,29.24618499,33.83938285,24.65298713
Recall,SF,19.42307692,24.73694891,14.10920493
JOL,Arial,31.7302748,36.37048868,27.09006093
Recall,Arial,24.16666667,29.67182966,18.66150367
JOL,Control,23.13881445,26.70182717,19.57580174
Recall,Control,21.09756098,24.68523783,17.50988412
