Task,Encoding,Average,Upper,Lower
JOL,Highlight,29.67650233,35.12470716,26.18424692
Recall,Highlight,21.21621622,24.22829749,16.24818552
JOL,No_Highlight,28.66885457,34.26477162,23.07293751
Recall,No_Highlight,19.86486486,25.42632628,14.30340345
JOL,Control,24.76295491,29.81746715,23.97103856
Recall,Control,19.0234375,19.70844266,14.07583644
