Direction,Task,Encoding,Average,Upper,Lower
B,JOL,Highlight,57.85837085,62.18722881,53.52951289
F,JOL,Highlight,61.95092231,66.97303442,56.92881019
S,JOL,Highlight,65.52766271,69.96072777,61.09459765
U,JOL,Highlight,18.54978831,23.3056625,13.79391412
B,Recall,Highlight,33.50530408,39.43457803,27.57603012
F,Recall,Highlight,68.51093949,73.71036517,63.3115138
S,Recall,Highlight,56.27094809,62.6633721,49.87852408
U,Recall,Highlight,12.89693078,16.83958536,8.954276205
B,JOL,No_Highlight,56.55494564,60.79096779,52.31892348
F,JOL,No_Highlight,61.31966261,65.40303447,57.23629075
S,JOL,No_Highlight,64.1748144,68.57825594,59.77137286
U,JOL,No_Highlight,19.26422008,23.75304569,14.77539447
B,Recall,No_Highlight,32.31697401,37.96926267,26.66468535
F,Recall,No_Highlight,67.68891899,72.04611824,63.33171974
S,Recall,No_Highlight,57.53476742,63.29687913,51.77265571
U,Recall,No_Highlight,12.90769451,18.18979315,7.625595875
B,JOL,Control,55.17789283,59.25282797,51.1029577
F,JOL,Control,60.87491995,64.72029701,57.0295429
S,JOL,Control,64.84416589,68.58670394,61.10162784
U,JOL,Control,19.42777778,24.19201135,14.66354421
B,Recall,Control,31.66666667,36.95569911,26.37763423
F,Recall,Control,69.29487179,74.68588981,63.90385378
S,Recall,Control,57.75641026,63.373621,52.13919952
U,Recall,Control,8.846153846,11.34588019,6.346427504
