"Username","JOL","Recall"
"5654b05004212700104a1d46",37.725,17.5
"5aa8ebf089de8200013f8c48",11.125,30
"5b1b75312767e20001e506ec",35.75,2.5
"5b2c0de67297750001c794ab",10.625,7.5
"5bba1b6b8f3bd70001e6be3a",1.35,2.5
"5c8ebaed13e167000176428f",21.275,25
"5caa2f919f9fb8000185329b",5.84615384615385,0
"5cbb39cb98560b0016678e5b",30.475,45
"5d77eb3007e8770001acdef8",26.4,17.5
"5e1858ff2bf95113513e63c6",9.85,10
"5e2d94d8ed8c8a3887580acb",12.775,5
"5e3f330085854c1969377142",16.9487179487179,15
"5e6449ae5932461d728d2152",49,47.5
"5e67d165cbb37e037909c20f",33.35,7.5
"5e6a6066d2723d016a56e77f",11.875,35
"5e7e846a89a21d55d5e77411",44,22.5
"5e86516e2c33ae2829df3983",20.025,12.5
"5e891584cdbaa65a740e076d",7.75,50
"5e90fcfc764e960b545749c3",10.9,10
"5e919b73429c2b4cf72b765f",40.5,15
"5e928bc7b4f9c10eeee9217b",38.075,20
"5ea04bf0549a55078a07eb5d",32.85,32.5
"5ea0552202b8bd000a2c129a",18.25,27.5
"5ea964a32f7b3304bb975a05",22.0512820512821,2.5
"5eb201f369cc97175a5a6490",43.875,10
"5ebfccc3903b333adb41bbd0",31.4324324324324,37.5
"5ec4363c0e821a30218c9a67",27.375,7.5
"5ec95a3fdafc5445f27e0b61",16.4615384615385,0
"5ed981e9976efc518bc84a5c",13.875,15
"5ee0e7d360122c4662e0e623",12.25,7.5
"5eed3ee1ddae2c160f750f31",26.5,50
"5efb789be4c8450e986ce093",18.75,20
"5f11a41ab0fa8703823032f6",52.775,2.5
"5f131fde1d332a2fc9e09d80",18.4615384615385,17.5
"5f140ed5565000448d082e16",33.75,40
"5f150c8fd0d9fa5978ccd1e6",19.725,25
"5f151a1c200b7911969aba6c",49.9,42.5
"5f16c30d59ac784a401cb353",53.2,47.5
"5f175535a8e1d70af0751405",36.1794871794872,7.5
"5f189519b4fb2a0845d3633d",17.85,2.5
