"Trial.ID","Sub.ID","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Trial.Type","JOL.RT","Response.JOL","Response.RT.1","Responses","Response.Accuracy","Answer","Scored"
1,"5cf1a1b1c0d98b00196ea8c8",3,"Control A","BAT","shaky","Study1","U","JOL",9818,"41",29072,"wing",0,"shaky",0
2,"5cf1a1b1c0d98b00196ea8c8",3,"Control A","BOTH","ounce","Study1","U","JOL",16565,"39",15905,"angle",40,"ounce",0
3,"5cf1a1b1c0d98b00196ea8c8",3,"Control A","BROAD","infect","Study1","U","JOL",9846,"42",24772,"simple",33.333333333333,"infect",0
4,"5cf1a1b1c0d98b00196ea8c8",3,"Control A","CAKE","clothes","Study1","U","JOL",15956,"9",32590,"week",18.181818181818,"clothes",0
5,"5cf1a1b1c0d98b00196ea8c8",3,"Control A","CRACKLE","able","Study1","U","JOL",15261,"49",10573,"able",100,"able",1
6,"5cf1a1b1c0d98b00196ea8c8",3,"Control A","CRAYON","rate","Study1","U","JOL",21681,"9",30668,"sky",0,"rate",0
7,"5cf1a1b1c0d98b00196ea8c8",3,"Control A","DEGREE","chair","Study1","U","JOL",24943,"33",41833,"angle",20,"chair",0
8,"5cf1a1b1c0d98b00196ea8c8",3,"Control A","DIFFICULT","poor","Study1","U","JOL",9222,"50",5531,"poor",100,"poor",1
9,"5cf1a1b1c0d98b00196ea8c8",3,"Control A","DIZZY","sweater","Study1","U","JOL",35089,"11",11900,"land",18.181818181818,"sweater",0
10,"5cf1a1b1c0d98b00196ea8c8",3,"Control A","DONKEY","lush","Study1","U","JOL",17063,"7",27519,"carry",0,"lush",0
11,"5cf1a1b1c0d98b00196ea8c8",3,"Control A","FUTURE","sincere","Study1","U","JOL",15151,"32",21208,"science",71.428571428571,"sincere",0
12,"5cf1a1b1c0d98b00196ea8c8",3,"Control A","FUZZY","bang","Study1","U","JOL",11827,"31",20921,"entrance",33.333333333333,"bang",0
13,"5cf1a1b1c0d98b00196ea8c8",3,"Control A","GIVE","steak","Study1","U","JOL",11079,"37",30071,"thank",60,"steak",0
14,"5cf1a1b1c0d98b00196ea8c8",3,"Control A","GRIND","stand","Study1","U","JOL",17676,"58",13052,"system",36.363636363636,"stand",0
15,"5cf1a1b1c0d98b00196ea8c8",3,"Control A","INFLATE","disgust","Study1","U","JOL",18523,"27",11814,"cash",18.181818181818,"disgust",0
16,"5cf1a1b1c0d98b00196ea8c8",3,"Control A","JUSTICE","maroon","Study1","U","JOL",17083,"39",40968,"gap",22.222222222222,"maroon",0
17,"5cf1a1b1c0d98b00196ea8c8",3,"Control A","KEYS","joke","Study1","U","JOL",17543,"62",8121,"trees",22.222222222222,"joke",0
