"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Trial.Type","JOL.RT","Response.JOL","Response.RT.1","Response.Response","Response.Accuracy","Recall_Score"
"5dcd935ebc9b97000b9d506d",5,"Highlight vs normal A","ALLOW","TUCK","Study1","U","JOL_H",2526,"30",851,"",0,0
"5dfeb647c0b81fb457299d05",5,"Highlight vs normal A","ALLOW","TUCK","Study1","U","JOL_H",2377,"0",1740,"YES",0,0
"5e65408fdf313c2bcfa6e24f",5,"Highlight vs normal A","ALLOW","TUCK","Study1","U","JOL",1098,"0",1370,"",0,0
"5e8fe6a309881f2ee83521f5",5,"Highlight vs normal A","ALLOW","TUCK","Study1","U","JOL_H",5246,"1",2281,"leave",0,0
"5eb47a217761382d66d1fe63",5,"Highlight vs normal A","ALLOW","TUCK","Study1","U","JOL_H",1327,"64",4071,"",0,0
"5ebc466264fea60774387e75",5,"Highlight vs normal A","ALLOW","TUCK","Study1","U","JOL",4163,"3",1578,"",0,0
"5ebd841ddea21b08a0aa3057",5,"Highlight vs normal A","ALLOW","TUCK","Study1","U","JOL",6937,"14",4587,"",0,0
"5f021571f119a138b3f33aab",5,"Highlight vs normal A","ALLOW","TUCK","Study1","U","JOL",2333,"10",1579,"",0,0
"5f0285dc9ae0b911b5f97dfe",5,"Highlight vs normal A","ALLOW","TUCK","Study1","U","JOL_H",3660,"15",1070,"",0,0
"5f045318065b0a04830ba148",5,"Highlight vs normal A","ALLOW","TUCK","Study1","U","JOL_H",4257,"0",1189,"",0,0
"5f09ae1800d387244cd6a16f",5,"Highlight vs normal A","ALLOW","TUCK","Study1","U","JOL",4524,"10",4444,"",0,0
"w968356_cj",5,"Highlight vs normal A","ALLOW","TUCK","Study1","U","JOL",12014,"67",2108,"continue",16.666666666667,0
"5dcd935ebc9b97000b9d506d",5,"Highlight vs normal A","ARCHITECTURE","DESIGN","Study1","S","JOL_H",2060,"80",3533,"Design",100,100
"5dfeb647c0b81fb457299d05",5,"Highlight vs normal A","ARCHITECTURE","DESIGN","Study1","S","JOL_H",4924,"85",2321,"DESIGN",100,100
"5e65408fdf313c2bcfa6e24f",5,"Highlight vs normal A","ARCHITECTURE","DESIGN","Study1","S","JOL",4902,"100",3158,"design",100,100
"5e8fe6a309881f2ee83521f5",5,"Highlight vs normal A","ARCHITECTURE","DESIGN","Study1","S","JOL_H",7230,"84",2400,"design",100,100
"5eb47a217761382d66d1fe63",5,"Highlight vs normal A","ARCHITECTURE","DESIGN","Study1","S","JOL",3678,"89",3483,"Design",100,100
"5ebc466264fea60774387e75",5,"Highlight vs normal A","ARCHITECTURE","DESIGN","Study1","S","JOL_H",3521,"40",4380,"design",100,100
