"Cues","SUBTLWF_1","Lg10WF_1","SUBTLCD_1","Lg10CD_1","Targets","SUBTLWF_2","Lg10WF_2","SUBTLCD_2","Lg10CD_2"
"justice",37.45,3.2813,12.55,3.0228,"maroon                   ",NA,NA,NA,NA
"stretch",14.67,2.8745,6.65,2.7474,"cloth",6.1,2.4942,2.81,2.3747
"give",1167.82,4.775,96.42,3.9079,"steak",16.24,2.9186,6.2,2.7168
"maze",2.55,2.1173,0.94,1.9031,"election",10.98,2.749,3.23,2.4346
"vehicle",22.61,3.0622,7.96,2.8254,"charm",15.57,2.9004,7.12,2.7767
"meat",43.65,3.3477,15.33,3.1096,"obtain",3.73,2.281,1.8,2.1818
"crackle",0.69,1.5563,0.2,1.2553,"able",159.9,3.9115,51.08,3.6321
"shell",13.22,2.8293,4.8,2.6064,"shake",39.63,3.3058,15.45,3.1129
"listen",NA,NA,NA,NA,"fiction",6.08,2.4928,2.68,2.3541
"keys",51,3.4153,17.01,3.1547,"joke",73.02,3.5711,25.73,3.3343
"cake",45.06,3.3615,14.27,3.0785,"clothes",101.14,3.7126,33.26,3.4458
"name",641.86,4.515,83.82,3.8471,"hate                     ",NA,NA,NA,NA
"fuzzy",5.82,2.4742,2.44,2.3139,"bang",19.98,3.0086,7.01,2.7701
"moat",1.18,1.7853,0.48,1.6128,"clear                    ",NA,NA,NA,NA
"lease",6.27,2.5065,2.4,2.3054,"toil                     ",NA,NA,NA,NA
"loan",19.86,3.006,6.91,2.7642,"sign                     ",NA,NA,NA,NA
"both",295.33,4.1779,72.87,3.7863,"ounce                    ",NA,NA,NA,NA
"temperature",13.76,2.847,5.93,2.6972,"morning",439,4.3501,72.19,3.7822
"mirror",24.18,3.0913,10.38,2.9405,"children",175.1,3.9509,39.06,3.5155
"main",42.73,3.3385,16.69,3.1464,"scar                     ",NA,NA,NA,NA
"bat",20.63,3.0224,6.69,2.7497,"shaky",2.96,2.1818,1.67,2.1492
"parcel",1.39,1.8573,0.67,1.7559,"throat",36.02,3.2643,14.77,3.0934
"stress",15.61,2.9015,6.95,2.7664,"yam",NA,NA,NA,NA
"resist",12.88,2.8182,6.31,2.7243,"glue",5.88,2.4786,2.62,2.3444
"future",103.49,3.7226,31.37,3.4203,"sincere",5.98,2.4857,2.92,2.3909
"degree",14.88,2.8808,6.97,2.7679,"chair",49.24,3.4,18.51,3.1915
"tax",14.55,2.871,5.9,2.6955,"owl",5.61,2.4579,1.63,2.1399
"thick",13.98,2.8537,6.72,2.752,"contest",18.78,2.9818,5.96,2.6998
"pet",20.18,3.0128,7.43,2.7952,"moon",49.96,3.4064,13.91,3.0674
"broad",14.73,2.8762,6.28,2.7226,"infect",1.22,1.7993,0.66,1.7482
"inflate",0.49,1.415,0.26,1.3617,"disgust",2.76,2.1523,1.44,2.0864
"dizzy",8.43,2.6345,4.26,2.5539,"sweater",13.8,2.8482,5.56,2.6693
"number",240.94,4.0895,54.15,3.6573,"hard",307.84,4.1959,72.66,3.785
"crayon",0.41,1.3424,0.24,1.3222,"rate",24.92,3.1045,11.24,2.975
"warn",25.35,3.1119,12.22,3.0111,"sea",59.84,3.4847,16.13,3.1316
"difficult",60.16,3.487,25.25,3.3261,"poor",129.08,3.8185,38.44,3.5085
"rose",NA,NA,NA,NA,"neglect",1.69,1.9395,0.94,1.9031
