Cues,Targets,QCON,TCON
justice,maroon                   ,2.18,3.2813
stretch,cloth,4.63,2.8745
give,steak,3.18,4.775
maze,election,5.02,2.1173
vehicle,charm,6.15,3.0622
meat,obtain,6.93,3.3477
crackle,able,4.23,1.5563
shell,shake,5.93,2.6385
listen,fiction,4.04,4.4438
keys,joke,6.08,3.4153
cake,clothes,6.11,3.3615
name,hate                     ,3.96,4.515
fuzzy,bang,4.4,2.4742
moat,clear                    ,4.98,1.7853
lease,toil                     ,3.67,2.5065
loan,sign                     ,3.74,3.006
both,ounce                    ,NA,4.1779
temperature,morning,4.61,2.847
mirror,children,5.91,3.0913
main,scar                     ,2.89,3.3385
bat,shaky,5.6,NA
parcel,throat,5.21,5.57
stress,yam,3.26,NA
resist,glue,NA,5.73
future,sincere,2.35,3.04
degree,chair,NA,6.12
tax,owl,4.28,6.09
thick,contest,3.77,NA
pet,moon,5.32,5.68
broad,infect,3.89,NA
inflate,disgust,NA,NA
dizzy,sweater,3.6,6.78
number,hard,3.76,4.21
crayon,rate,6.12,3.16
warn,sea,3.07,5.82
difficult,poor,2.38,3
rose,neglect,5.86,NA
ripe,verify,NA,NA
donkey,lush,6.67,NA
grind,stand,4.37,4.4
clutter,pusher                   ,NA,NA
sacking,dietary                  ,NA,NA
hungry,park,4.24,5.45
woman,lift,5.68,3.7
belt,soon,5.98,2.54
floor,discover,5.47,3.25
business,death,4.05,3.86
sight,debate,3.84,2.5
bronze,artery                   ,6.57,6.28
hand,fix,5.6,3.1
position,machine,3.31,6.75
car,happy,6.35,3.51
tuck,allow                    ,NA,2.64
lion,art,6.14,4.36
accident,strong,4.26,3.24
riddle,sugar,3.95,6.35
add,valley,2.95,6.66
would,cash                     ,NA,6.28
sick,hide                     ,3.89,5.45
vase,king                     ,5.7,5.54
null,cough,NA,5.35
smooth,omit,3.91,NA
ready,corn,NA,5.51
stomach,town,6.04,5.52
lake,opinion,5.7,2.29
float,harmony,4.41,3.68
detect,free,NA,3.24
put,roll,2.77,4.3
slim,know,3.22,2.7
waste,sedate,3.76,NA
road,scent,5.48,4.58
system,lick,2.36,NA
zoo,thumb,5.79,6.58
desire,noise,2.69,5.29
guard,wheel,5.05,5.53
puff,number,3.63,3.76
jelly,naughty,5.3,NA
mute,wave,NA,4.68
spell,bone,3.49,5.75
swing,fog,5.08,5.08
,,,
MEAN,,4.549402985,4.204774242
SD,,1.243110567,1.419274414
