Average,Upper,Lower,Direction,JOL_Bin,Group
9.375,18.4400026,0.309997395,B,0,Small
21.81570209,34.37885416,9.252550019,B,10,Small
31.19070209,46.07862149,16.30278268,B,20,Small
33.1714944,48.22764423,18.11534458,B,30,Small
33.21568353,46.86995116,19.56141591,B,40,Small
32.8849957,47.64451006,18.12548135,B,50,Small
32.62731687,47.4829764,17.77165735,B,60,Small
33.25517076,46.74349501,19.7668465,B,70,Small
36.47047397,51.42361586,21.51733208,B,80,Small
37.58158508,53.04074683,22.12242334,B,90,Small
29.09090909,43.05706359,15.1247546,B,100,Small
33.33333333,48.26951192,18.39715474,F,0,Small
53.25396825,68.87788593,37.63005058,F,10,Small
60.77030812,74.85227235,46.6883439,F,20,Small
60.38569274,75.81300054,44.95838494,F,30,Small
59.32749168,74.78665342,43.86832994,F,40,Small
64.35595468,78.71902376,49.9928856,F,50,Small
66.8154,80.82307224,52.80772775,F,60,Small
69.30217248,84.37111972,54.23322525,F,70,Small
72.43197279,85.65262782,59.21131776,F,80,Small
75.72751323,87.99883613,63.45619032,F,90,Small
71.11111111,85.06272813,57.1594941,F,100,Small
16,27.45323471,4.546765288,S,0,Small
38.10565685,53.62097054,22.59034315,S,10,Small
49.43899018,64.92398796,33.95399241,S,20,Small
46.61290323,62.24710995,30.9786965,S,30,Small
51.49717514,66.28323757,36.71111271,S,40,Small
55.49717514,69.71235377,41.28199652,S,50,Small
62.11007837,77.11862878,47.10152796,S,60,Small
58.94623656,74.30378362,43.58868949,S,70,Small
61.77683765,76.89919106,46.65448425,S,80,Small
65.71948998,79.7959704,51.64300956,S,90,Small
66.66666667,81.15540358,52.17792976,S,100,Small
6.198347107,13.5945105,0,U,0,Small
9.358470847,18.63945544,0.077486252,U,10,Small
9.144206996,19.10458762,0,U,20,Small
7.162309368,14.27335273,0.051266008,U,30,Small
8.368945869,14.61719766,2.120694081,U,40,Small
15.60800311,26.87086609,4.345140126,U,50,Small
14.21911422,28.51705261,0,U,60,Small
20.2020202,20.2020202,20.2020202,U,70,Small
11.11111111,28.78383595,0,U,80,Small
18.51851852,18.51851852,18.51851852,U,90,Small
22.22222222,35.71998877,8.72445567,U,100,Small
37.5,52.63775557,22.36224443,B,0,Large
36.67184265,50.41507758,22.92860772,B,10,Large
29.50517598,45.05124355,13.95910842,B,20,Large
28.01673102,39.46996573,16.5634963,B,30,Large
22.71003207,35.48488835,9.935175783,B,40,Large
29.39855666,43.61373528,15.18337803,B,50,Large
33.91974451,48.74039427,19.09909475,B,60,Large
35.87146511,50.62649694,21.11643327,B,70,Large
39.35348315,54.24855437,24.45841194,B,80,Large
37.82116652,53.26959071,22.37274234,B,90,Large
30.58823529,44.77644886,16.40002173,B,100,Large
40.74074074,56.06755593,25.41392555,F,0,Large
58.41358025,73.55133582,43.27582468,F,10,Large
62.07471264,76.10200312,48.04742217,F,20,Large
62.17161187,77.73828391,46.60493983,F,30,Large
61.98113568,76.95200927,47.01026208,F,40,Large
66.53462816,80.48798728,52.58126905,F,50,Large
74.41795493,89.12255083,59.71335902,F,60,Large
76.24945676,86.81895138,65.67996214,F,70,Large
76.91835308,89.91550243,63.92120373,F,80,Large
71.38910748,85.89703732,56.88117764,F,90,Large
69.85294118,83.95172123,55.75416112,F,100,Large
19.04761905,31.36430744,6.730930653,S,0,Large
40.96459096,56.84736982,25.08181211,S,10,Large
51.28205128,66.79252577,35.7715768,S,20,Large
47.12643678,62.87518135,31.37769221,S,30,Large
46.75606641,62.09874588,31.41338694,S,40,Large
50.4283828,65.90253293,34.95423266,S,50,Large
57.06538687,72.12241663,42.00835711,S,60,Large
62.41411222,77.44555957,47.38266488,S,70,Large
67.78941489,82.49149783,53.08733194,S,80,Large
68.94204117,81.8883943,55.99568804,S,90,Large
64.74820144,79.42517441,50.07122847,S,100,Large
8.363636364,16.8532261,0,U,0,Large
10.64098613,19.86603109,1.415941175,U,10,Large
10.88341037,21.45290499,0.313915757,U,20,Large
10.88341037,19.784918,1.981902748,U,30,Large
9.696969697,19.03697292,0.356966473,U,40,Large
6.666666667,16.08824352,0,U,50,Large
8.888888889,8.888888889,8.888888889,U,60,Large
19.84126984,32.33777342,7.344766265,U,70,Large
19.84126984,36.20303372,3.479505967,U,80,Large
20.95238095,20.95238095,20.95238095,U,90,Large
20,32.6737678,7.3262322,U,100,Large
