Average,Upper,Lower,Direction,JOL_Bin
17.94871795,30.31001891,5.587416986,B,0
22.64957265,36.82868265,8.470462654,B,10
23.89937107,37.42265629,10.37608585,B,20
25.09451579,38.26251086,11.92652073,B,30
27.82955853,42.49651778,13.16259928,B,40
30.30381383,45.13530008,15.47232758,B,50
32.44857706,46.93369654,17.96345759,B,60
37.236303,52.60560037,21.86700563,B,70
41.76882549,57.67836663,25.85928436,B,80
44.88394399,60.68906841,29.07881958,B,90
46.03174603,62.00658949,30.05690258,B,100
57.14285714,73.26606696,41.01964733,F,0
53.04864627,69.06354975,37.03374278,F,10
55.528805,71.54222642,39.51538358,F,20
59.2325087,74.51880091,43.9462165,F,30
65.63552189,80.81055945,50.46048432,F,40
67.34006734,82.38438522,52.29574946,F,50
70.81241867,85.46905457,56.15578276,F,60
75.43002328,89.03682668,61.82321989,F,70
80.86436672,93.49804075,68.23069269,F,80
83.0927004,94.16225156,72.02314924,F,90
82.75862069,94.83863083,70.67861055,F,100
31.57894737,46.76337833,16.39451641,S,0
43.53070175,59.5522957,27.50910781,S,10
47.47807018,63.41799449,31.53814587,S,20
45.54447274,61.40866787,29.68027762,S,30
49.54037438,65.52331662,33.55743214,S,40
54.27198818,70.12979083,38.41418553,S,50
59.42632403,75.19080887,43.66183919,S,60
61.31810355,76.54791788,46.08828923,S,70
64.87266217,80.39289431,49.35243003,S,80
66.34522635,81.18235298,51.50809973,S,90
69.34306569,84.05673474,54.62939665,S,100
6.769230769,14.76909731,0,U,0
8.078170109,15.68735023,0.468989984,U,10
11.10228791,21.23641097,0.968164843,U,20
14.56819249,26.23556436,2.900820612,U,30
14.39391254,26.25729029,2.530534785,U,40
11.19671782,21.20261488,1.190820751,U,50
8.605072464,16.38295911,0.827185815,U,60
4.981884058,14.14226764,0,U,70
0,0,0,U,80
8.333333333,10.98294988,5.683716788,U,90
0,0,0,U,100
