"Username","JOL","Recall"
"5654b05004212700104a1d46",43.7,10
"5aa8ebf089de8200013f8c48",9.625,37.5
"5b1b75312767e20001e506ec",35.1,2.5
"5b2c0de67297750001c794ab",12.675,5
"5bba1b6b8f3bd70001e6be3a",2.15,0
"5c8ebaed13e167000176428f",28.725,35
"5caa2f919f9fb8000185329b",6.925,0
"5cbb39cb98560b0016678e5b",33.275,52.5
"5d77eb3007e8770001acdef8",33.825,12.5
"5e1858ff2bf95113513e63c6",9.525,10
"5e2d94d8ed8c8a3887580acb",9.975,5
"5e3f330085854c1969377142",17.45,30
"5e6449ae5932461d728d2152",57.425,45
"5e67d165cbb37e037909c20f",43.075,10
"5e6a6066d2723d016a56e77f",17.4,32.5
"5e7e846a89a21d55d5e77411",40.4,20
"5e86516e2c33ae2829df3983",31.375,15
"5e891584cdbaa65a740e076d",6.375,60
"5e90fcfc764e960b545749c3",16.3076923076923,7.5
"5e919b73429c2b4cf72b765f",35.2,20
"5e928bc7b4f9c10eeee9217b",31.425,22.5
"5ea04bf0549a55078a07eb5d",31.25,30
"5ea0552202b8bd000a2c129a",16.125,47.5
"5ea964a32f7b3304bb975a05",32.875,7.5
"5eb201f369cc97175a5a6490",41.875,20
"5ebfccc3903b333adb41bbd0",37.825,30
"5ec4363c0e821a30218c9a67",28.875,5
"5ec95a3fdafc5445f27e0b61",10.175,0
"5ed981e9976efc518bc84a5c",15.4,10
"5ee0e7d360122c4662e0e623",14.75,5
"5eed3ee1ddae2c160f750f31",29.25,55
"5efb789be4c8450e986ce093",22.25,25
"5f11a41ab0fa8703823032f6",67.35,7.5
"5f131fde1d332a2fc9e09d80",22.925,25
"5f140ed5565000448d082e16",32.25,45
"5f150c8fd0d9fa5978ccd1e6",15.05,35
"5f151a1c200b7911969aba6c",51.175,37.5
"5f16c30d59ac784a401cb353",59.45,42.5
"5f175535a8e1d70af0751405",34.65,17.5
"5f189519b4fb2a0845d3633d",22.675,15
