"Username","JOL","Recall"
"337079",2.7375,8.75
"57adbbe8bcf54e000152816b",34.2405063291139,31.25
"5c0950fa600aff0001d7049f",18.6125,13.75
"5c43c3a3e72e1c000146e886",20.5625,23.75
"5c6039c8c5405100016c90ab",7.2875,7.5
"5d47e1baff3efc001a89d8e5",5.1125,7.5
"5d5c6cc6f68762001a9009e0",32.875,22.5
"5db6e588867c22000dfffa54",21.1,18.75
"5e378948cd9d1670b2b86a51",26.375,11.25
"5e558d73a9fedb0a01f7987c",10.625,16.25
"5e8b4f93afcb1601643d7c33",40.0253164556962,10
"5e8b806203f2f605d5b6f531",1.4125,3.75
"5e904c70d2668d34a40d37af",27.25,10
"5ea47ff57c48522b29976b79",34.1125,3.75
"5ea6f5e4069d2408db69d9a2",19.6455696202532,51.25
"5eb031acf88798083686548a",57.5375,6.25
"5edbb0a767bf0083cc63bd5c",44.45,12.5
"5ee64cd142c24a0008de839b",1.40506329113924,2.5
"5ee8caa7dfec0f1eddd1b9df",27.0759493670886,23.75
"5ee96e3da75e4919e8822d0c",13.5875,20
"5f0c10b787a3fe533f292145",17.2375,2.5
"5f0e30151296d515c73e7b39",34.1375,13.75
"5f0f190c5fc48a0636bd891e",22.0875,35
"5f12900e0ad01c209b1fade9",43.55,5
"5f1eadf617e7c80008b0d2ae",9.0125,3.75
"5f39a2c474eb5153935957b8",15.2125,27.5
"904025",26.5125,48.75
"972730",9.5375,1.25
"w10002554",23.9875,2.5
"w10042723",49.8875,27.5
"w10044868",52.9375,0
"w10058488_mev",51.05,57.5
"w10103859",32.15,11.25
"w953508",14.5,7.5
"w969399_anw",16.3164556962025,8.75
"w981975_sha",20.5125,27.5
"w990838_amn",12.8607594936709,32.5
