"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Direction","Procedure.Shuffle","JOL","Procedure.Shuffle.1","Response.RT","Response.Response","Recall_Score","Encoding","List_Type"
"337079",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",1,"Recall1",873,"",0,"JOL","Pure U"
"5c6039c8c5405100016c90ab",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",20,"Recall1",12117,"fuzzy",0,"JOL","Pure U"
"5e378948cd9d1670b2b86a51",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",25,"Recall1",14498,"fly",0,"JOL","Pure U"
"5ee96e3da75e4919e8822d0c",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",0,"Recall1",1684,"",0,"JOL","Pure U"
"5ee96e3da75e4919e8822d0c",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase2",10,"Recall2",5480,"shaky",100,"JOL","Pure U"
"5f12900e0ad01c209b1fade9",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",65,"Recall1",2934,"wings",0,"JOL","Pure U"
"904025",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",26,"Recall1",4853,"Shaky",100,"JOL","Pure U"
"w10002554",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",20,"Recall1",1987,"",0,"JOL","Pure U"
"w10042723",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",50,"Recall1",11205,"shake",100,"JOL","Pure U"
"w10058488_mev",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",40,"Recall1",8009,"fuzzy",0,"JOL","Pure U"
"w953508",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",15,"Recall1",1704,"",0,"JOL","Pure U"
"w990838_amn",17,"Pure U","BAT","SHAKY","Study1","U","Study Phase",15,"Recall1",25623,"catcher",0,"JOL","Pure U"
"337079",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",1,"Recall1",1545,"",0,"JOL","Pure U"
"5c6039c8c5405100016c90ab",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",5,"Recall1",4313,"",0,"JOL","Pure U"
"5e378948cd9d1670b2b86a51",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",65,"Recall1",12185,"Have",0,"JOL","Pure U"
"5ee96e3da75e4919e8822d0c",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",0,"Recall1",3314,"",0,"JOL","Pure U"
"5f12900e0ad01c209b1fade9",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",12,"Recall1",7178,"opposite",0,"JOL","Pure U"
"904025",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",15,"Recall1",4050,"",0,"JOL","Pure U"
"w10002554",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",30,"Recall1",2477,"",0,"JOL","Pure U"
"w10042723",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",80,"Recall1",6758,"",0,"JOL","Pure U"
"w10058488_mev",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",9,"Recall1",9834,"car",0,"JOL","Pure U"
"w953508",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",6,"Recall1",980,"",0,"JOL","Pure U"
"w990838_amn",17,"Pure U","BOTH","OUNCE","Study1","U","Study Phase",3,"Recall1",14691,"",0,"JOL","Pure U"
"337079",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",1,"Recall1",5078,"",0,"JOL","Pure U"
"5c6039c8c5405100016c90ab",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",5,"Recall1",3440,"wide",0,"JOL","Pure U"
"5e378948cd9d1670b2b86a51",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",60,"Recall1",4102,"sea",0,"JOL","Pure U"
"5ee96e3da75e4919e8822d0c",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",0,"Recall1",5540,"",0,"JOL","Pure U"
"5f12900e0ad01c209b1fade9",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",13,"Recall1",3462,"walk",0,"JOL","Pure U"
"904025",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",15,"Recall1",8421,"Lease",0,"JOL","Pure U"
"w10002554",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",25,"Recall1",2563,"bang ",0,"JOL","Pure U"
"w10042723",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",55,"Recall1",4528,"infected",100,"JOL","Pure U"
"w10058488_mev",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",22,"Recall1",6417,"infection",0,"JOL","Pure U"
"w953508",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",10,"Recall1",746,"",0,"JOL","Pure U"
"w990838_amn",17,"Pure U","BROAD","INFECT","Study1","U","Study Phase",40,"Recall1",25186,"illness",0,"JOL","Pure U"
"337079",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",1,"Recall1",1272,"",0,"JOL","Pure U"
"5c6039c8c5405100016c90ab",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",50,"Recall1",4419,"clothes",100,"JOL","Pure U"
"5e378948cd9d1670b2b86a51",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",12,"Recall1",9646,"clothes",100,"JOL","Pure U"
"5ee96e3da75e4919e8822d0c",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",10,"Recall1",1090,"",0,"JOL","Pure U"
"5f12900e0ad01c209b1fade9",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",37,"Recall1",11318,"batter",0,"JOL","Pure U"
"904025",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",25,"Recall1",4153,"Clothes",100,"JOL","Pure U"
"w10002554",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",35,"Recall1",4550,"clothes",100,"JOL","Pure U"
"w10042723",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",60,"Recall1",7516,"clothes",100,"JOL","Pure U"
"w10058488_mev",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",62,"Recall1",7276,"clothes",100,"JOL","Pure U"
"w953508",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",60,"Recall1",4754,"clothes",100,"JOL","Pure U"
"w990838_amn",17,"Pure U","CAKE","CLOTHES","Study1","U","Study Phase",10,"Recall1",4077,"moon",0,"JOL","Pure U"
"337079",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",1,"Recall1",865,"",0,"JOL","Pure U"
"5c6039c8c5405100016c90ab",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",10,"Recall1",5848,"oath",0,"JOL","Pure U"
"5e378948cd9d1670b2b86a51",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",30,"Recall1",14569,"Cracker",0,"JOL","Pure U"
"5e378948cd9d1670b2b86a51",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase2",16,"Recall2",10935,"craker",0,"JOL","Pure U"
"5ee96e3da75e4919e8822d0c",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",0,"Recall1",10292,"",0,"JOL","Pure U"
"5f12900e0ad01c209b1fade9",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",34,"Recall1",4322,"wrapper",0,"JOL","Pure U"
"904025",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",0,"Recall1",3162,"",0,"JOL","Pure U"
"w10002554",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",10,"Recall1",2694,"",0,"JOL","Pure U"
"w10042723",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",0,"Recall1",5351,"",0,"JOL","Pure U"
"w10058488_mev",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",44,"Recall1",4232,"able",100,"JOL","Pure U"
"w953508",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",10,"Recall1",3213,"",0,"JOL","Pure U"
"w990838_amn",17,"Pure U","CRACKLE","ABLE","Study1","U","Study Phase",10,"Recall1",6214,"fire",0,"JOL","Pure U"
"337079",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase",1,"Recall1",3710,"rate",100,"JOL","Pure U"
"5c6039c8c5405100016c90ab",17,"Pure U","CRAYON","RATE","Study1","U","Study Phase",10,"Recall1",3433,"rate",100,"JOL","Pure U"
