Username,ID,Date,Session,Condition_Number,Condition_Description,Output_File,Stimuli_File,Procedure_File,Browser,DeviceType,OS,IP
asdfa,7ltx381qod,2020-09-12T12:08:24-07:00,1,1,"Sans F A",Output_Session1_asdfa_7ltx381qod.csv,Pure_Unrelated_SF1.csv,SF_VersionA.csv,"Firefox Generic",Desktop,Win10,73.2.192.199
asdfafaf,7lg2mfmarl,2020-09-12T12:17:00-07:00,1,1,"Sans F A",Output_Session1_asdfafaf_7lg2mfmarl.csv,Pure_Unrelated_SF1.csv,SF_VersionA.csv,"Firefox Generic",Desktop,Win10,73.2.192.199
asdawef,lqhlse5urv,2020-09-12T12:33:23-07:00,1,1,"Sans F A",Output_Session1_asdawef_lqhlse5urv.csv,Pure_Unrelated_SF1.csv,SF_VersionA.csv,"Firefox Generic",Desktop,Win10,73.2.192.199
LJJADF,mig7mquj2x,2020-09-12T13:08:29-07:00,1,1,"Sans F A",Output_Session1_LJJADF_mig7mquj2x.csv,Pure_Unrelated_SF1.csv,SF_VersionA.csv,"Firefox Generic",Desktop,Win10,73.2.192.199
aedfadf,vf6fdo4euf,2020-09-12T13:36:27-07:00,1,1,"Sans F A",Output_Session1_aedfadf_vf6fdo4euf.csv,Pure_Unrelated_SF1.csv,SF_VersionA.csv,"Firefox Generic",Desktop,Win10,73.2.192.199
adfasdf,m5x293wga9,2020-09-12T14:17:32-07:00,1,1,"Sans F A",Output_Session1_adfasdf_m5x293wga9.csv,Pure_Unrelated_SF1.csv,SF_VersionA.csv,"Firefox Generic",Desktop,Win10,73.2.192.199
adsfa,goekw50nsh,2020-09-12T14:23:35-07:00,1,1,"Sans F A",Output_Session1_adsfa_goekw50nsh.csv,Pure_Unrelated_SF1.csv,SF_VersionA.csv,"Firefox Generic",Desktop,Win10,73.2.192.199
qwesadf,aovq5kti51,2020-09-12T14:30:22-07:00,1,1,"Sans F A",Output_Session1_qwesadf_aovq5kti51.csv,Pure_Unrelated_SF1.csv,SF_VersionA.csv,"Firefox Generic",Desktop,Win10,73.2.192.199
asda,xqeefz2cnl,2020-09-12T14:41:26-07:00,1,1,"Sans F A",Output_Session1_asda_xqeefz2cnl.csv,Pure_Unrelated_SF1.csv,SF_VersionA.csv,"Firefox Generic",Desktop,Win10,73.2.192.199
adfaf,lhj23578gh,2020-09-12T14:49:27-07:00,1,1,"Sans F A",Output_Session1_adfaf_lhj23578gh.csv,Pure_Unrelated_SF1.csv,SF_VersionA.csv,"Firefox Generic",Desktop,Win10,73.2.192.199
adfafaesdf,hg62rq0vd3,2020-09-12T14:56:34-07:00,1,1,"Sans F A",Output_Session1_adfafaesdf_hg62rq0vd3.csv,Pure_Unrelated_SF1.csv,SF_VersionA.csv,"Firefox Generic",Desktop,Win10,73.2.192.199
ADFADF,zvsi9zuacd,2020-09-15T07:46:00-07:00,1,1,"Sans F A",Output_Session1_ADFADF_zvsi9zuacd.csv,Pure_Unrelated_SF1.csv,SF_VersionA.csv,"Firefox Generic",Desktop,Win10,131.95.1.138
AAFA,8ye1prnr0r,2020-09-15T07:48:31-07:00,1,1,"Sans F A",Output_Session1_AAFA_8ye1prnr0r.csv,Pure_Unrelated_SF1.csv,SF_VersionA.csv,"Edge 85.0",Desktop,Win10,131.95.1.138
asdfadf,avhntgqhji,2020-09-15T08:01:41-07:00,1,2,"Sans F B",Output_Session1_asdfadf_avhntgqhji.csv,Pure_Unrelated.csv,SF_VersionB.csv,"Firefox Generic",Desktop,Win10,131.95.1.138
sdasfd,yf1wlwsui5,2020-09-15T08:12:06-07:00,1,3,"Control A",Output_Session1_sdasfd_yf1wlwsui5.csv,Pure_Unrelated.csv,Control_VersionA.csv,"Firefox Generic",Desktop,Win10,131.95.1.138
asdfadf,znhi1840ad,2020-09-15T10:56:57-07:00,1,1,"Sans F A",Output_Session1_asdfadf_znhi1840ad.csv,Pure_Unrelated_SF1.csv,SF_VersionA.csv,"Firefox Generic",Desktop,Win10,73.2.192.199
